Timestamp,Event
2024-07-17T03:46:52.265204,"Epoch 0, Step 0 start"
2024-07-17T03:46:52.265220,Generating data
2024-07-17T03:46:52.267860,generating tours of train model
2024-07-17T03:47:01.932139,generating tours of baseline model
2024-07-17T03:47:02.299611,computing tour length of train model
2024-07-17T03:47:02.332681,computing tour length of baseline model
2024-07-17T03:47:02.333192,computing loss and backprop
2024-07-17T03:47:15.092628,"Epoch 0, Step 1 start"
2024-07-17T03:47:15.092669,generating tours of train model
2024-07-17T03:47:15.373677,generating tours of baseline model
2024-07-17T03:47:15.649201,computing tour length of train model
2024-07-17T03:47:15.649632,computing tour length of baseline model
2024-07-17T03:47:15.649987,computing loss and backprop
2024-07-17T03:47:16.195307,"Epoch 0, Step 2 start"
2024-07-17T03:47:16.195329,generating tours of train model
2024-07-17T03:47:16.473795,generating tours of baseline model
2024-07-17T03:47:16.748408,computing tour length of train model
2024-07-17T03:47:16.748758,computing tour length of baseline model
2024-07-17T03:47:16.749106,computing loss and backprop
2024-07-17T03:47:17.292023,"Epoch 0, Step 3 start"
2024-07-17T03:47:17.292044,generating tours of train model
2024-07-17T03:47:17.570492,generating tours of baseline model
2024-07-17T03:47:17.844940,computing tour length of train model
2024-07-17T03:47:17.845314,computing tour length of baseline model
2024-07-17T03:47:17.845647,computing loss and backprop
2024-07-17T03:47:18.386166,"Epoch 0, Step 4 start"
2024-07-17T03:47:18.386186,generating tours of train model
2024-07-17T03:47:18.573894,generating tours of baseline model
2024-07-17T03:47:18.755828,computing tour length of train model
2024-07-17T03:47:18.756065,computing tour length of baseline model
2024-07-17T03:47:18.756286,computing loss and backprop
2024-07-17T03:47:19.113282,"Epoch 0, Step 5 start"
2024-07-17T03:47:19.113297,generating tours of train model
2024-07-17T03:47:19.297918,generating tours of baseline model
2024-07-17T03:47:19.480556,computing tour length of train model
2024-07-17T03:47:19.480892,computing tour length of baseline model
2024-07-17T03:47:19.481121,computing loss and backprop
2024-07-17T03:47:19.836868,"Epoch 0, Step 6 start"
2024-07-17T03:47:19.836882,Generating data
2024-07-17T03:47:19.838462,generating tours of train model
2024-07-17T03:47:20.021853,generating tours of baseline model
2024-07-17T03:47:20.204081,computing tour length of train model
2024-07-17T03:47:20.204311,computing tour length of baseline model
2024-07-17T03:47:20.204533,computing loss and backprop
2024-07-17T03:47:20.565936,"Epoch 0, Step 7 start"
2024-07-17T03:47:20.565952,generating tours of train model
2024-07-17T03:47:20.751093,generating tours of baseline model
2024-07-17T03:47:20.932822,computing tour length of train model
2024-07-17T03:47:20.933068,computing tour length of baseline model
2024-07-17T03:47:20.933293,computing loss and backprop
2024-07-17T03:47:21.289432,"Epoch 0, Step 8 start"
2024-07-17T03:47:21.289448,generating tours of train model
2024-07-17T03:47:21.475102,generating tours of baseline model
2024-07-17T03:47:21.658512,computing tour length of train model
2024-07-17T03:47:21.658741,computing tour length of baseline model
2024-07-17T03:47:21.658974,computing loss and backprop
2024-07-17T03:47:22.014517,"Epoch 0, Step 9 start"
2024-07-17T03:47:22.014532,generating tours of train model
2024-07-17T03:47:22.199172,generating tours of baseline model
2024-07-17T03:47:22.380801,computing tour length of train model
2024-07-17T03:47:22.381037,computing tour length of baseline model
2024-07-17T03:47:22.381259,computing loss and backprop
2024-07-17T03:47:22.741686,"Epoch 0, Generating tour on test data batch 0"
2024-07-17T03:47:23.079918,"Epoch 0, computing tour length on test data batch 0"
2024-07-17T03:47:23.080739,"Epoch 0, Generating tour on test data batch 1"
2024-07-17T03:47:23.420516,"Epoch 0, computing tour length on test data batch 1"
2024-07-17T03:47:23.421015,"Epoch 0, Generating tour on test data batch 2"
2024-07-17T03:47:23.761949,"Epoch 0, computing tour length on test data batch 2"
2024-07-17T03:47:23.762440,"Epoch 0, Generating tour on test data batch 3"
2024-07-17T03:47:24.101901,"Epoch 0, computing tour length on test data batch 3"
2024-07-17T03:47:24.102391,"Epoch 0, Generating tour on test data batch 4"
2024-07-17T03:47:24.443987,"Epoch 0, computing tour length on test data batch 4"
2024-07-17T03:47:24.444480,"Epoch 0, Generating tour on test data batch 5"
2024-07-17T03:47:24.898429,"Epoch 0, computing tour length on test data batch 5"
2024-07-17T03:47:24.898968,"Epoch 0, Generating tour on test data batch 6"
2024-07-17T03:47:25.240441,"Epoch 0, computing tour length on test data batch 6"
2024-07-17T03:47:25.240944,"Epoch 0, Generating tour on test data batch 7"
2024-07-17T03:47:25.583371,"Epoch 0, computing tour length on test data batch 7"
2024-07-17T03:47:25.583871,"Epoch 0, Generating tour on test data batch 8"
2024-07-17T03:47:25.924365,"Epoch 0, computing tour length on test data batch 8"
2024-07-17T03:47:25.924853,"Epoch 0, Generating tour on test data batch 9"
2024-07-17T03:47:26.265942,"Epoch 0, computing tour length on test data batch 9"
2024-07-17T03:47:26.266429,"Epoch 0, Generating tour on test data batch 10"
2024-07-17T03:47:26.607500,"Epoch 0, computing tour length on test data batch 10"
2024-07-17T03:47:26.607996,"Epoch 0, Generating tour on test data batch 11"
2024-07-17T03:47:26.949838,"Epoch 0, computing tour length on test data batch 11"
2024-07-17T03:47:26.950332,"Epoch 0, Generating tour on test data batch 12"
2024-07-17T03:47:27.291892,"Epoch 0, computing tour length on test data batch 12"
2024-07-17T03:47:27.292378,"Epoch 0, Generating tour on test data batch 13"
2024-07-17T03:47:27.696997,"Epoch 0, computing tour length on test data batch 13"
2024-07-17T03:47:27.698683,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-17T03:47:27.714013,"Epoch 1, Step 0 start"
2024-07-17T03:47:27.714023,Generating data
2024-07-17T03:47:27.714249,generating tours of train model
2024-07-17T03:47:27.899174,generating tours of baseline model
2024-07-17T03:47:28.104990,computing tour length of train model
2024-07-17T03:47:28.105226,computing tour length of baseline model
2024-07-17T03:47:28.105457,computing loss and backprop
2024-07-17T03:47:28.466512,"Epoch 1, Step 1 start"
2024-07-17T03:47:28.466527,generating tours of train model
2024-07-17T03:47:28.654769,generating tours of baseline model
2024-07-17T03:47:28.838277,computing tour length of train model
2024-07-17T03:47:28.838510,computing tour length of baseline model
2024-07-17T03:47:28.838732,computing loss and backprop
2024-07-17T03:47:29.198400,"Epoch 1, Step 2 start"
2024-07-17T03:47:29.198415,generating tours of train model
2024-07-17T03:47:29.385021,generating tours of baseline model
2024-07-17T03:47:29.570260,computing tour length of train model
2024-07-17T03:47:29.570492,computing tour length of baseline model
2024-07-17T03:47:29.570712,computing loss and backprop
2024-07-17T03:47:29.931904,"Epoch 1, Step 3 start"
2024-07-17T03:47:29.931920,generating tours of train model
2024-07-17T03:47:30.118764,generating tours of baseline model
2024-07-17T03:47:30.301616,computing tour length of train model
2024-07-17T03:47:30.301854,computing tour length of baseline model
2024-07-17T03:47:30.302077,computing loss and backprop
2024-07-17T03:47:30.663227,"Epoch 1, Step 4 start"
2024-07-17T03:47:30.663242,generating tours of train model
2024-07-17T03:47:30.850060,generating tours of baseline model
2024-07-17T03:47:31.033240,computing tour length of train model
2024-07-17T03:47:31.033469,computing tour length of baseline model
2024-07-17T03:47:31.033695,computing loss and backprop
2024-07-17T03:47:31.395680,"Epoch 1, Step 5 start"
2024-07-17T03:47:31.395695,generating tours of train model
2024-07-17T03:47:31.582902,generating tours of baseline model
2024-07-17T03:47:31.766010,computing tour length of train model
2024-07-17T03:47:31.766247,computing tour length of baseline model
2024-07-17T03:47:31.766469,computing loss and backprop
2024-07-17T03:47:32.130454,"Epoch 1, Step 6 start"
2024-07-17T03:47:32.130470,Generating data
2024-07-17T03:47:32.132136,generating tours of train model
2024-07-17T03:47:32.319110,generating tours of baseline model
2024-07-17T03:47:32.503651,computing tour length of train model
2024-07-17T03:47:32.503909,computing tour length of baseline model
2024-07-17T03:47:32.504133,computing loss and backprop
2024-07-17T03:47:32.865867,"Epoch 1, Step 7 start"
2024-07-17T03:47:32.865882,generating tours of train model
2024-07-17T03:47:33.052538,generating tours of baseline model
2024-07-17T03:47:33.236280,computing tour length of train model
2024-07-17T03:47:33.236512,computing tour length of baseline model
2024-07-17T03:47:33.236734,computing loss and backprop
2024-07-17T03:47:33.598421,"Epoch 1, Step 8 start"
2024-07-17T03:47:33.598433,generating tours of train model
2024-07-17T03:47:33.785387,generating tours of baseline model
2024-07-17T03:47:33.969079,computing tour length of train model
2024-07-17T03:47:33.969311,computing tour length of baseline model
2024-07-17T03:47:33.969535,computing loss and backprop
2024-07-17T03:47:34.330203,"Epoch 1, Step 9 start"
2024-07-17T03:47:34.330218,generating tours of train model
2024-07-17T03:47:34.517964,generating tours of baseline model
2024-07-17T03:47:34.701545,computing tour length of train model
2024-07-17T03:47:34.701778,computing tour length of baseline model
2024-07-17T03:47:34.702010,computing loss and backprop
2024-07-17T03:47:35.063362,"Epoch 1, Generating tour on test data batch 0"
2024-07-17T03:47:35.409714,"Epoch 1, computing tour length on test data batch 0"
2024-07-17T03:47:35.410636,"Epoch 1, Generating tour on test data batch 1"
2024-07-17T03:47:35.756087,"Epoch 1, computing tour length on test data batch 1"
2024-07-17T03:47:35.756593,"Epoch 1, Generating tour on test data batch 2"
2024-07-17T03:47:36.100033,"Epoch 1, computing tour length on test data batch 2"
2024-07-17T03:47:36.100532,"Epoch 1, Generating tour on test data batch 3"
2024-07-17T03:47:36.443623,"Epoch 1, computing tour length on test data batch 3"
2024-07-17T03:47:36.444124,"Epoch 1, Generating tour on test data batch 4"
2024-07-17T03:47:36.890286,"Epoch 1, computing tour length on test data batch 4"
2024-07-17T03:47:36.890851,"Epoch 1, Generating tour on test data batch 5"
2024-07-17T03:47:37.238027,"Epoch 1, computing tour length on test data batch 5"
2024-07-17T03:47:37.238526,"Epoch 1, Generating tour on test data batch 6"
2024-07-17T03:47:37.582958,"Epoch 1, computing tour length on test data batch 6"
2024-07-17T03:47:37.583458,"Epoch 1, Generating tour on test data batch 7"
2024-07-17T03:47:37.926640,"Epoch 1, computing tour length on test data batch 7"
2024-07-17T03:47:37.927144,"Epoch 1, Generating tour on test data batch 8"
2024-07-17T03:47:38.270285,"Epoch 1, computing tour length on test data batch 8"
2024-07-17T03:47:38.270775,"Epoch 1, Generating tour on test data batch 9"
