Timestamp,Event
2024-07-17T04:38:07.597743,"Epoch 0, Step 0 start"
2024-07-17T04:38:07.597760,Generating data
2024-07-17T04:38:07.600574,generating tours of train model
2024-07-17T04:38:17.268864,generating tours of baseline model
2024-07-17T04:38:17.530368,computing tour length of train model
2024-07-17T04:38:17.562706,computing tour length of baseline model
2024-07-17T04:38:17.563216,computing loss and backprop
2024-07-17T04:38:30.314924,"Epoch 0, Step 1 start"
2024-07-17T04:38:30.314965,generating tours of train model
2024-07-17T04:38:30.549362,generating tours of baseline model
2024-07-17T04:38:30.782352,computing tour length of train model
2024-07-17T04:38:30.782777,computing tour length of baseline model
2024-07-17T04:38:30.783131,computing loss and backprop
2024-07-17T04:38:31.261445,"Epoch 0, Step 2 start"
2024-07-17T04:38:31.261476,generating tours of train model
2024-07-17T04:38:31.495931,generating tours of baseline model
2024-07-17T04:38:31.727629,computing tour length of train model
2024-07-17T04:38:31.728014,computing tour length of baseline model
2024-07-17T04:38:31.728358,computing loss and backprop
2024-07-17T04:38:32.201176,"Epoch 0, Step 3 start"
2024-07-17T04:38:32.201197,generating tours of train model
2024-07-17T04:38:32.434918,generating tours of baseline model
2024-07-17T04:38:32.666234,computing tour length of train model
2024-07-17T04:38:32.666567,computing tour length of baseline model
2024-07-17T04:38:32.666906,computing loss and backprop
2024-07-17T04:38:33.139887,"Epoch 0, Step 4 start"
2024-07-17T04:38:33.139907,generating tours of train model
2024-07-17T04:38:33.373149,generating tours of baseline model
2024-07-17T04:38:33.603963,computing tour length of train model
2024-07-17T04:38:33.604411,computing tour length of baseline model
2024-07-17T04:38:33.604756,computing loss and backprop
2024-07-17T04:38:33.926902,"Epoch 0, Step 5 start"
2024-07-17T04:38:33.926916,generating tours of train model
2024-07-17T04:38:34.082413,generating tours of baseline model
2024-07-17T04:38:34.235504,computing tour length of train model
2024-07-17T04:38:34.235729,computing tour length of baseline model
2024-07-17T04:38:34.235958,computing loss and backprop
2024-07-17T04:38:34.547044,"Epoch 0, Step 6 start"
2024-07-17T04:38:34.547058,Generating data
2024-07-17T04:38:34.548359,generating tours of train model
2024-07-17T04:38:34.702387,generating tours of baseline model
2024-07-17T04:38:34.855794,computing tour length of train model
2024-07-17T04:38:34.856046,computing tour length of baseline model
2024-07-17T04:38:34.856269,computing loss and backprop
2024-07-17T04:38:35.165413,"Epoch 0, Step 7 start"
2024-07-17T04:38:35.165428,generating tours of train model
2024-07-17T04:38:35.320634,generating tours of baseline model
2024-07-17T04:38:35.473791,computing tour length of train model
2024-07-17T04:38:35.474026,computing tour length of baseline model
2024-07-17T04:38:35.474248,computing loss and backprop
2024-07-17T04:38:35.784465,"Epoch 0, Step 8 start"
2024-07-17T04:38:35.784480,generating tours of train model
2024-07-17T04:38:35.939241,generating tours of baseline model
2024-07-17T04:38:36.092096,computing tour length of train model
2024-07-17T04:38:36.092324,computing tour length of baseline model
2024-07-17T04:38:36.092541,computing loss and backprop
2024-07-17T04:38:36.401733,"Epoch 0, Step 9 start"
2024-07-17T04:38:36.401749,generating tours of train model
2024-07-17T04:38:36.556596,generating tours of baseline model
