Timestamp,Event
2024-07-14T21:50:31.769232,"Epoch 0, Step 0 start"
2024-07-14T21:50:31.769252,Generating data
2024-07-14T21:50:31.771852,generating tours of train model
2024-07-14T21:51:16.380575,generating tours of baseline model
2024-07-14T21:51:16.717339,computing tour length of train model
2024-07-14T21:51:16.741094,computing tour length of baseline model
2024-07-14T21:51:16.741492,computing loss and backprop
2024-07-14T21:52:25.475849,"Epoch 0, Step 1 start"
2024-07-14T21:52:25.475884,generating tours of train model
2024-07-14T21:52:25.728588,generating tours of baseline model
2024-07-14T21:52:25.982727,computing tour length of train model
2024-07-14T21:52:25.983062,computing tour length of baseline model
2024-07-14T21:52:25.983306,computing loss and backprop
2024-07-14T21:52:26.522794,"Epoch 0, Step 2 start"
2024-07-14T21:52:26.522814,generating tours of train model
2024-07-14T21:52:26.767448,generating tours of baseline model
2024-07-14T21:52:27.006600,computing tour length of train model
2024-07-14T21:52:27.006862,computing tour length of baseline model
2024-07-14T21:52:27.007090,computing loss and backprop
2024-07-14T21:52:27.528084,"Epoch 0, Step 3 start"
2024-07-14T21:52:27.528101,generating tours of train model
2024-07-14T21:52:27.785014,generating tours of baseline model
2024-07-14T21:52:28.035910,computing tour length of train model
2024-07-14T21:52:28.036175,computing tour length of baseline model
2024-07-14T21:52:28.036409,computing loss and backprop
2024-07-14T21:52:28.567082,"Epoch 0, Step 4 start"
2024-07-14T21:52:28.567102,generating tours of train model
2024-07-14T21:52:28.812374,generating tours of baseline model
2024-07-14T21:52:29.050987,computing tour length of train model
2024-07-14T21:52:29.051242,computing tour length of baseline model
2024-07-14T21:52:29.051470,computing loss and backprop
2024-07-14T21:52:29.573163,"Epoch 0, Step 5 start"
2024-07-14T21:52:29.573183,generating tours of train model
2024-07-14T21:52:29.831322,generating tours of baseline model
2024-07-14T21:52:30.080597,computing tour length of train model
2024-07-14T21:52:30.080884,computing tour length of baseline model
2024-07-14T21:52:30.081232,computing loss and backprop
2024-07-14T21:52:30.621954,"Epoch 0, Step 6 start"
2024-07-14T21:52:30.621970,Generating data
2024-07-14T21:52:30.625123,generating tours of train model
2024-07-14T21:52:30.994898,generating tours of baseline model
2024-07-14T21:52:31.241389,computing tour length of train model
2024-07-14T21:52:31.241660,computing tour length of baseline model
2024-07-14T21:52:31.241895,computing loss and backprop
2024-07-14T21:52:31.774424,"Epoch 0, Step 7 start"
2024-07-14T21:52:31.774441,generating tours of train model
2024-07-14T21:52:32.029739,generating tours of baseline model
2024-07-14T21:52:32.276952,computing tour length of train model
2024-07-14T21:52:32.277207,computing tour length of baseline model
2024-07-14T21:52:32.277438,computing loss and backprop
2024-07-14T21:52:32.789138,"Epoch 0, Step 8 start"
2024-07-14T21:52:32.789155,generating tours of train model
2024-07-14T21:52:33.035818,generating tours of baseline model
2024-07-14T21:52:33.282976,computing tour length of train model
2024-07-14T21:52:33.283237,computing tour length of baseline model
2024-07-14T21:52:33.283464,computing loss and backprop
2024-07-14T21:52:33.810346,"Epoch 0, Step 9 start"
2024-07-14T21:52:33.810361,generating tours of train model
2024-07-14T21:52:34.057636,generating tours of baseline model
2024-07-14T21:52:34.301744,computing tour length of train model
2024-07-14T21:52:34.302009,computing tour length of baseline model
2024-07-14T21:52:34.302246,computing loss and backprop
2024-07-14T21:52:34.818841,"Epoch 0, Generating tour on test data batch 0"
2024-07-14T21:52:35.291399,"Epoch 0, computing tour length on test data batch 0"
2024-07-14T21:52:35.291986,"Epoch 0, Generating tour on test data batch 1"
2024-07-14T21:52:35.776013,"Epoch 0, computing tour length on test data batch 1"
2024-07-14T21:52:35.776570,"Epoch 0, Generating tour on test data batch 2"
2024-07-14T21:52:36.245864,"Epoch 0, computing tour length on test data batch 2"
2024-07-14T21:52:36.246397,"Epoch 0, Generating tour on test data batch 3"
2024-07-14T21:52:36.709901,"Epoch 0, computing tour length on test data batch 3"
