Timestamp,Event
2024-07-22T02:29:24.928956,"Epoch 0, Step 0 start"
2024-07-22T02:29:24.928974,Generating data
2024-07-22T02:29:24.937683,generating tours of train model
2024-07-22T02:29:40.455751,generating tours of baseline model
2024-07-22T02:29:40.590558,computing tour length of train model
2024-07-22T02:29:40.618547,computing tour length of baseline model
2024-07-22T02:29:40.618916,computing loss and backprop
2024-07-22T02:30:01.884129,"Epoch 0, Step 1 start"
2024-07-22T02:30:01.884165,generating tours of train model
2024-07-22T02:30:02.039594,generating tours of baseline model
2024-07-22T02:30:02.151549,computing tour length of train model
2024-07-22T02:30:02.151888,computing tour length of baseline model
2024-07-22T02:30:02.152124,computing loss and backprop
2024-07-22T02:30:02.264613,"Epoch 0, Step 2 start"
2024-07-22T02:30:02.264632,generating tours of train model
2024-07-22T02:30:02.467776,generating tours of baseline model
2024-07-22T02:30:02.597750,computing tour length of train model
2024-07-22T02:30:02.598011,computing tour length of baseline model
2024-07-22T02:30:02.598238,computing loss and backprop
2024-07-22T02:30:02.707397,"Epoch 0, Step 3 start"
2024-07-22T02:30:02.707414,generating tours of train model
2024-07-22T02:30:02.909693,generating tours of baseline model
2024-07-22T02:30:03.039678,computing tour length of train model
2024-07-22T02:30:03.039937,computing tour length of baseline model
2024-07-22T02:30:03.040161,computing loss and backprop
2024-07-22T02:30:03.149624,"Epoch 0, Step 4 start"
2024-07-22T02:30:03.149652,generating tours of train model
2024-07-22T02:30:03.351799,generating tours of baseline model
2024-07-22T02:30:03.445365,computing tour length of train model
2024-07-22T02:30:03.445605,computing tour length of baseline model
2024-07-22T02:30:03.445825,computing loss and backprop
2024-07-22T02:30:03.556724,"Epoch 0, Step 5 start"
2024-07-22T02:30:03.556744,generating tours of train model
2024-07-22T02:30:03.718071,generating tours of baseline model
2024-07-22T02:30:03.838470,computing tour length of train model
2024-07-22T02:30:03.838722,computing tour length of baseline model
2024-07-22T02:30:03.838955,computing loss and backprop
2024-07-22T02:30:03.947069,"Epoch 0, Step 6 start"
2024-07-22T02:30:03.947092,Generating data
2024-07-22T02:30:03.952243,generating tours of train model
2024-07-22T02:30:04.085113,generating tours of baseline model
2024-07-22T02:30:04.214292,computing tour length of train model
2024-07-22T02:30:04.214557,computing tour length of baseline model
2024-07-22T02:30:04.214786,computing loss and backprop
2024-07-22T02:30:04.324533,"Epoch 0, Step 7 start"
2024-07-22T02:30:04.324550,generating tours of train model
2024-07-22T02:30:04.484491,generating tours of baseline model
2024-07-22T02:30:04.608720,computing tour length of train model
2024-07-22T02:30:04.609021,computing tour length of baseline model
2024-07-22T02:30:04.609256,computing loss and backprop
2024-07-22T02:30:04.719640,"Epoch 0, Step 8 start"
2024-07-22T02:30:04.719666,generating tours of train model
2024-07-22T02:30:04.878552,generating tours of baseline model
2024-07-22T02:30:05.005269,computing tour length of train model
2024-07-22T02:30:05.005521,computing tour length of baseline model
2024-07-22T02:30:05.005741,computing loss and backprop
2024-07-22T02:30:05.115228,"Epoch 0, Step 9 start"
2024-07-22T02:30:05.115245,generating tours of train model
2024-07-22T02:30:05.317823,generating tours of baseline model
2024-07-22T02:30:05.447776,computing tour length of train model
2024-07-22T02:30:05.448031,computing tour length of baseline model
2024-07-22T02:30:05.448256,computing loss and backprop
2024-07-22T02:30:05.557598,"Epoch 0, Generating tour on test data batch 0"
2024-07-22T02:30:05.816848,"Epoch 0, computing tour length on test data batch 0"
2024-07-22T02:30:05.817327,"Epoch 0, Generating tour on test data batch 1"
2024-07-22T02:30:06.077202,"Epoch 0, computing tour length on test data batch 1"
2024-07-22T02:30:06.077677,"Epoch 0, Generating tour on test data batch 2"
2024-07-22T02:30:06.279780,"Epoch 0, computing tour length on test data batch 2"
2024-07-22T02:30:06.280263,"Epoch 0, Generating tour on test data batch 3"
2024-07-22T02:30:06.516993,"Epoch 0, computing tour length on test data batch 3"
2024-07-22T02:30:06.517492,"Epoch 0, Generating tour on test data batch 4"
2024-07-22T02:30:06.744668,"Epoch 0, computing tour length on test data batch 4"
2024-07-22T02:30:06.745158,"Epoch 0, Generating tour on test data batch 5"
2024-07-22T02:30:06.944290,"Epoch 0, computing tour length on test data batch 5"
2024-07-22T02:30:06.944753,"Epoch 0, Generating tour on test data batch 6"
2024-07-22T02:30:07.163770,"Epoch 0, computing tour length on test data batch 6"
2024-07-22T02:30:07.164250,"Epoch 0, Generating tour on test data batch 7"
2024-07-22T02:30:07.392161,"Epoch 0, computing tour length on test data batch 7"
2024-07-22T02:30:07.392629,"Epoch 0, Generating tour on test data batch 8"
2024-07-22T02:30:07.619481,"Epoch 0, computing tour length on test data batch 8"
2024-07-22T02:30:07.619983,"Epoch 0, Generating tour on test data batch 9"
2024-07-22T02:30:07.880745,"Epoch 0, computing tour length on test data batch 9"
2024-07-22T02:30:07.881210,"Epoch 0, Generating tour on test data batch 10"
2024-07-22T02:30:08.140920,"Epoch 0, computing tour length on test data batch 10"
2024-07-22T02:30:08.141384,"Epoch 0, Generating tour on test data batch 11"
2024-07-22T02:30:08.401192,"Epoch 0, computing tour length on test data batch 11"
2024-07-22T02:30:08.401669,"Epoch 0, Generating tour on test data batch 12"
2024-07-22T02:30:08.661445,"Epoch 0, computing tour length on test data batch 12"
2024-07-22T02:30:08.661917,"Epoch 0, Generating tour on test data batch 13"
2024-07-22T02:30:08.921741,"Epoch 0, computing tour length on test data batch 13"
2024-07-22T02:30:08.922202,"Epoch 0, Generating tour on test data batch 14"
2024-07-22T02:30:09.132291,"Epoch 0, computing tour length on test data batch 14"
2024-07-22T02:30:09.132755,"Epoch 0, Generating tour on test data batch 15"
2024-07-22T02:30:09.361579,"Epoch 0, computing tour length on test data batch 15"
2024-07-22T02:30:09.362064,"Epoch 0, Generating tour on test data batch 16"
2024-07-22T02:30:09.595375,"Epoch 0, computing tour length on test data batch 16"
2024-07-22T02:30:09.595853,"Epoch 0, Generating tour on test data batch 17"
2024-07-22T02:30:09.815620,"Epoch 0, computing tour length on test data batch 17"
2024-07-22T02:30:09.816171,"Epoch 0, Generating tour on test data batch 18"
2024-07-22T02:30:10.025818,"Epoch 0, computing tour length on test data batch 18"
2024-07-22T02:30:10.026295,"Epoch 0, Generating tour on test data batch 19"
2024-07-22T02:30:10.243188,"Epoch 0, computing tour length on test data batch 19"
2024-07-22T02:30:10.243919,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-22T02:30:10.267161,"Epoch 1, Step 0 start"
2024-07-22T02:30:10.267176,Generating data
2024-07-22T02:30:10.270161,generating tours of train model
2024-07-22T02:30:10.414142,generating tours of baseline model
2024-07-22T02:30:10.542840,computing tour length of train model
2024-07-22T02:30:10.543106,computing tour length of baseline model
2024-07-22T02:30:10.543338,computing loss and backprop
2024-07-22T02:30:10.653259,"Epoch 1, Step 1 start"
2024-07-22T02:30:10.653287,generating tours of train model
2024-07-22T02:30:10.855551,generating tours of baseline model
2024-07-22T02:30:10.985560,computing tour length of train model
2024-07-22T02:30:10.985836,computing tour length of baseline model
2024-07-22T02:30:10.986074,computing loss and backprop
2024-07-22T02:30:11.095175,"Epoch 1, Step 2 start"
2024-07-22T02:30:11.095191,generating tours of train model
2024-07-22T02:30:11.297699,generating tours of baseline model
2024-07-22T02:30:11.427675,computing tour length of train model
2024-07-22T02:30:11.427931,computing tour length of baseline model
2024-07-22T02:30:11.428153,computing loss and backprop
2024-07-22T02:30:11.537327,"Epoch 1, Step 3 start"
2024-07-22T02:30:11.537347,generating tours of train model
2024-07-22T02:30:11.739763,generating tours of baseline model
2024-07-22T02:30:11.843103,computing tour length of train model
2024-07-22T02:30:11.843343,computing tour length of baseline model
2024-07-22T02:30:11.843562,computing loss and backprop
2024-07-22T02:30:11.951497,"Epoch 1, Step 4 start"
2024-07-22T02:30:11.951517,generating tours of train model
2024-07-22T02:30:12.113416,generating tours of baseline model
2024-07-22T02:30:12.237815,computing tour length of train model
2024-07-22T02:30:12.238083,computing tour length of baseline model
2024-07-22T02:30:12.238305,computing loss and backprop
2024-07-22T02:30:12.349361,"Epoch 1, Step 5 start"
2024-07-22T02:30:12.349382,generating tours of train model
2024-07-22T02:30:12.486899,generating tours of baseline model
2024-07-22T02:30:12.616137,computing tour length of train model
2024-07-22T02:30:12.616396,computing tour length of baseline model
2024-07-22T02:30:12.616616,computing loss and backprop
2024-07-22T02:30:12.725265,"Epoch 1, Step 6 start"
2024-07-22T02:30:12.725289,Generating data
2024-07-22T02:30:12.729361,generating tours of train model
2024-07-22T02:30:12.887190,generating tours of baseline model
2024-07-22T02:30:13.012190,computing tour length of train model
2024-07-22T02:30:13.012471,computing tour length of baseline model
2024-07-22T02:30:13.012695,computing loss and backprop
2024-07-22T02:30:13.121483,"Epoch 1, Step 7 start"
2024-07-22T02:30:13.121506,generating tours of train model
2024-07-22T02:30:13.279481,generating tours of baseline model
2024-07-22T02:30:13.409806,computing tour length of train model
2024-07-22T02:30:13.410067,computing tour length of baseline model
2024-07-22T02:30:13.410291,computing loss and backprop
2024-07-22T02:30:13.522330,"Epoch 1, Step 8 start"
2024-07-22T02:30:13.522346,generating tours of train model
2024-07-22T02:30:13.724787,generating tours of baseline model
2024-07-22T02:30:13.854748,computing tour length of train model
2024-07-22T02:30:13.855003,computing tour length of baseline model
2024-07-22T02:30:13.855226,computing loss and backprop
2024-07-22T02:30:13.964627,"Epoch 1, Step 9 start"
2024-07-22T02:30:13.964647,generating tours of train model
2024-07-22T02:30:14.166697,generating tours of baseline model
2024-07-22T02:30:14.296707,computing tour length of train model
2024-07-22T02:30:14.296972,computing tour length of baseline model
2024-07-22T02:30:14.297196,computing loss and backprop
2024-07-22T02:30:14.407150,"Epoch 1, Generating tour on test data batch 0"
2024-07-22T02:30:14.666139,"Epoch 1, computing tour length on test data batch 0"
2024-07-22T02:30:14.666597,"Epoch 1, Generating tour on test data batch 1"
2024-07-22T02:30:14.867617,"Epoch 1, computing tour length on test data batch 1"
2024-07-22T02:30:14.868100,"Epoch 1, Generating tour on test data batch 2"
2024-07-22T02:30:15.104009,"Epoch 1, computing tour length on test data batch 2"
2024-07-22T02:30:15.104499,"Epoch 1, Generating tour on test data batch 3"
2024-07-22T02:30:15.323780,"Epoch 1, computing tour length on test data batch 3"
2024-07-22T02:30:15.324260,"Epoch 1, Generating tour on test data batch 4"
2024-07-22T02:30:15.526691,"Epoch 1, computing tour length on test data batch 4"
2024-07-22T02:30:15.527219,"Epoch 1, Generating tour on test data batch 5"
2024-07-22T02:30:15.764262,"Epoch 1, computing tour length on test data batch 5"
2024-07-22T02:30:15.764732,"Epoch 1, Generating tour on test data batch 6"
2024-07-22T02:30:15.991945,"Epoch 1, computing tour length on test data batch 6"
2024-07-22T02:30:15.992423,"Epoch 1, Generating tour on test data batch 7"
2024-07-22T02:30:16.226965,"Epoch 1, computing tour length on test data batch 7"
2024-07-22T02:30:16.227443,"Epoch 1, Generating tour on test data batch 8"
2024-07-22T02:30:16.487681,"Epoch 1, computing tour length on test data batch 8"
2024-07-22T02:30:16.488146,"Epoch 1, Generating tour on test data batch 9"
2024-07-22T02:30:16.747872,"Epoch 1, computing tour length on test data batch 9"
2024-07-22T02:30:16.748334,"Epoch 1, Generating tour on test data batch 10"
2024-07-22T02:30:17.008055,"Epoch 1, computing tour length on test data batch 10"
2024-07-22T02:30:17.008530,"Epoch 1, Generating tour on test data batch 11"
2024-07-22T02:30:17.268240,"Epoch 1, computing tour length on test data batch 11"
2024-07-22T02:30:17.268704,"Epoch 1, Generating tour on test data batch 12"
2024-07-22T02:30:17.513887,"Epoch 1, computing tour length on test data batch 12"
2024-07-22T02:30:17.514355,"Epoch 1, Generating tour on test data batch 13"
2024-07-22T02:30:17.719576,"Epoch 1, computing tour length on test data batch 13"
2024-07-22T02:30:17.720075,"Epoch 1, Generating tour on test data batch 14"
2024-07-22T02:30:17.955618,"Epoch 1, computing tour length on test data batch 14"
2024-07-22T02:30:17.956101,"Epoch 1, Generating tour on test data batch 15"
2024-07-22T02:30:18.164572,"Epoch 1, computing tour length on test data batch 15"
2024-07-22T02:30:18.165068,"Epoch 1, Generating tour on test data batch 16"
2024-07-22T02:30:18.392010,"Epoch 1, computing tour length on test data batch 16"
2024-07-22T02:30:18.392477,"Epoch 1, Generating tour on test data batch 17"
2024-07-22T02:30:18.629956,"Epoch 1, computing tour length on test data batch 17"
2024-07-22T02:30:18.630471,"Epoch 1, Generating tour on test data batch 18"
2024-07-22T02:30:18.839412,"Epoch 1, computing tour length on test data batch 18"
2024-07-22T02:30:18.839884,"Epoch 1, Generating tour on test data batch 19"
2024-07-22T02:30:19.082420,"Epoch 1, computing tour length on test data batch 19"
2024-07-22T02:30:19.082919,Epoch 1 saving checkpoint and updating baseline if train is better
2024-07-22T02:30:19.104177,"Epoch 2, Step 0 start"
2024-07-22T02:30:19.104186,Generating data
2024-07-22T02:30:19.107116,generating tours of train model
2024-07-22T02:30:19.310345,generating tours of baseline model
2024-07-22T02:30:19.440340,computing tour length of train model
2024-07-22T02:30:19.440596,computing tour length of baseline model
2024-07-22T02:30:19.440825,computing loss and backprop
2024-07-22T02:30:19.549888,"Epoch 2, Step 1 start"
2024-07-22T02:30:19.549904,generating tours of train model
2024-07-22T02:30:19.752472,generating tours of baseline model
2024-07-22T02:30:19.882470,computing tour length of train model
2024-07-22T02:30:19.882722,computing tour length of baseline model
2024-07-22T02:30:19.882952,computing loss and backprop
2024-07-22T02:30:19.992297,"Epoch 2, Step 2 start"
2024-07-22T02:30:19.992316,generating tours of train model
2024-07-22T02:30:20.194640,generating tours of baseline model
2024-07-22T02:30:20.324716,computing tour length of train model
2024-07-22T02:30:20.324970,computing tour length of baseline model
2024-07-22T02:30:20.325192,computing loss and backprop
2024-07-22T02:30:20.433558,"Epoch 2, Step 3 start"
2024-07-22T02:30:20.433574,generating tours of train model
2024-07-22T02:30:20.610590,generating tours of baseline model
