Timestamp,Event
2024-07-22T02:58:33.122612,"Epoch 0, Step 0 start"
2024-07-22T02:58:33.122629,Generating data
2024-07-22T02:58:33.130583,generating tours of train model
2024-07-22T02:58:48.920946,generating tours of baseline model
2024-07-22T02:58:48.946232,computing tour length of train model
2024-07-22T02:58:48.972583,computing tour length of baseline model
2024-07-22T02:58:48.972981,computing loss and backprop
2024-07-22T02:59:09.976264,"Epoch 0, Step 1 start"
2024-07-22T02:59:09.976296,generating tours of train model
2024-07-22T02:59:10.154401,generating tours of baseline model
2024-07-22T02:59:10.256189,computing tour length of train model
2024-07-22T02:59:10.256501,computing tour length of baseline model
2024-07-22T02:59:10.256737,computing loss and backprop
2024-07-22T02:59:10.317014,"Epoch 0, Step 2 start"
2024-07-22T02:59:10.317031,generating tours of train model
2024-07-22T02:59:10.490811,generating tours of baseline model
2024-07-22T02:59:10.592610,computing tour length of train model
2024-07-22T02:59:10.592889,computing tour length of baseline model
2024-07-22T02:59:10.593131,computing loss and backprop
2024-07-22T02:59:10.653710,"Epoch 0, Step 3 start"
2024-07-22T02:59:10.653727,generating tours of train model
2024-07-22T02:59:10.827378,generating tours of baseline model
2024-07-22T02:59:10.915193,computing tour length of train model
2024-07-22T02:59:10.915440,computing tour length of baseline model
2024-07-22T02:59:10.915665,computing loss and backprop
2024-07-22T02:59:10.965482,"Epoch 0, Step 4 start"
2024-07-22T02:59:10.965500,generating tours of train model
2024-07-22T02:59:11.111704,generating tours of baseline model
2024-07-22T02:59:11.164925,computing tour length of train model
2024-07-22T02:59:11.165187,computing tour length of baseline model
2024-07-22T02:59:11.165419,computing loss and backprop
2024-07-22T02:59:11.225658,"Epoch 0, Step 5 start"
2024-07-22T02:59:11.225680,generating tours of train model
2024-07-22T02:59:11.314041,generating tours of baseline model
2024-07-22T02:59:11.408127,computing tour length of train model
2024-07-22T02:59:11.408389,computing tour length of baseline model
2024-07-22T02:59:11.408625,computing loss and backprop
2024-07-22T02:59:11.469787,"Epoch 0, Step 6 start"
2024-07-22T02:59:11.469809,Generating data
2024-07-22T02:59:11.473468,generating tours of train model
2024-07-22T02:59:11.512604,generating tours of baseline model
2024-07-22T02:59:11.606096,computing tour length of train model
2024-07-22T02:59:11.606391,computing tour length of baseline model
2024-07-22T02:59:11.606645,computing loss and backprop
2024-07-22T02:59:11.667473,"Epoch 0, Step 7 start"
2024-07-22T02:59:11.667496,generating tours of train model
2024-07-22T02:59:11.752339,generating tours of baseline model
2024-07-22T02:59:11.847980,computing tour length of train model
2024-07-22T02:59:11.848241,computing tour length of baseline model
2024-07-22T02:59:11.848469,computing loss and backprop
2024-07-22T02:59:11.901582,"Epoch 0, Step 8 start"
2024-07-22T02:59:11.901607,generating tours of train model
2024-07-22T02:59:12.060964,generating tours of baseline model
2024-07-22T02:59:12.106428,computing tour length of train model
2024-07-22T02:59:12.106727,computing tour length of baseline model
2024-07-22T02:59:12.106967,computing loss and backprop
2024-07-22T02:59:12.167528,"Epoch 0, Step 9 start"
2024-07-22T02:59:12.167551,generating tours of train model
2024-07-22T02:59:12.262685,generating tours of baseline model
2024-07-22T02:59:12.334863,computing tour length of train model
2024-07-22T02:59:12.335119,computing tour length of baseline model
2024-07-22T02:59:12.335344,computing loss and backprop
2024-07-22T02:59:12.395281,"Epoch 0, Generating tour on test data batch 0"
2024-07-22T02:59:12.598563,"Epoch 0, computing tour length on test data batch 0"
2024-07-22T02:59:12.599055,"Epoch 0, Generating tour on test data batch 1"
2024-07-22T02:59:12.802329,"Epoch 0, computing tour length on test data batch 1"
2024-07-22T02:59:12.802857,"Epoch 0, Generating tour on test data batch 2"
2024-07-22T02:59:13.006046,"Epoch 0, computing tour length on test data batch 2"
2024-07-22T02:59:13.006517,"Epoch 0, Generating tour on test data batch 3"
2024-07-22T02:59:13.209796,"Epoch 0, computing tour length on test data batch 3"
2024-07-22T02:59:13.210283,"Epoch 0, Generating tour on test data batch 4"
2024-07-22T02:59:13.413557,"Epoch 0, computing tour length on test data batch 4"
2024-07-22T02:59:13.414047,"Epoch 0, Generating tour on test data batch 5"
2024-07-22T02:59:13.613663,"Epoch 0, computing tour length on test data batch 5"
2024-07-22T02:59:13.614138,"Epoch 0, Generating tour on test data batch 6"
2024-07-22T02:59:13.725026,"Epoch 0, computing tour length on test data batch 6"
2024-07-22T02:59:13.725503,"Epoch 0, Generating tour on test data batch 7"
2024-07-22T02:59:13.870731,"Epoch 0, computing tour length on test data batch 7"
2024-07-22T02:59:13.871216,"Epoch 0, Generating tour on test data batch 8"
2024-07-22T02:59:14.009616,"Epoch 0, computing tour length on test data batch 8"
2024-07-22T02:59:14.010102,"Epoch 0, Generating tour on test data batch 9"
2024-07-22T02:59:14.183073,"Epoch 0, computing tour length on test data batch 9"
2024-07-22T02:59:14.183541,"Epoch 0, Generating tour on test data batch 10"
2024-07-22T02:59:14.307465,"Epoch 0, computing tour length on test data batch 10"
2024-07-22T02:59:14.307950,"Epoch 0, Generating tour on test data batch 11"
