Timestamp,Event
2024-07-22T01:58:44.151297,"Epoch 0, Step 0 start"
2024-07-22T01:58:44.151317,Generating data
2024-07-22T01:58:44.159565,generating tours of train model
2024-07-22T01:59:00.026252,generating tours of baseline model
2024-07-22T01:59:00.239395,computing tour length of train model
2024-07-22T01:59:00.269436,computing tour length of baseline model
2024-07-22T01:59:00.269884,computing loss and backprop
2024-07-22T01:59:21.845462,"Epoch 0, Step 1 start"
2024-07-22T01:59:21.845492,generating tours of train model
2024-07-22T01:59:22.248066,generating tours of baseline model
2024-07-22T01:59:22.434764,computing tour length of train model
2024-07-22T01:59:22.435088,computing tour length of baseline model
2024-07-22T01:59:22.435327,computing loss and backprop
2024-07-22T01:59:22.636213,"Epoch 0, Step 2 start"
2024-07-22T01:59:22.636241,generating tours of train model
2024-07-22T01:59:22.900438,generating tours of baseline model
2024-07-22T01:59:23.100275,computing tour length of train model
2024-07-22T01:59:23.100552,computing tour length of baseline model
2024-07-22T01:59:23.100938,computing loss and backprop
2024-07-22T01:59:23.303982,"Epoch 0, Step 3 start"
2024-07-22T01:59:23.304003,generating tours of train model
2024-07-22T01:59:23.573489,generating tours of baseline model
2024-07-22T01:59:23.786283,computing tour length of train model
2024-07-22T01:59:23.786546,computing tour length of baseline model
2024-07-22T01:59:23.786774,computing loss and backprop
2024-07-22T01:59:23.989541,"Epoch 0, Step 4 start"
2024-07-22T01:59:23.989558,generating tours of train model
2024-07-22T01:59:24.392306,generating tours of baseline model
2024-07-22T01:59:24.649162,computing tour length of train model
2024-07-22T01:59:24.649432,computing tour length of baseline model
2024-07-22T01:59:24.649657,computing loss and backprop
2024-07-22T01:59:24.851831,"Epoch 0, Step 5 start"
2024-07-22T01:59:24.851862,generating tours of train model
2024-07-22T01:59:25.136388,generating tours of baseline model
2024-07-22T01:59:25.339946,computing tour length of train model
2024-07-22T01:59:25.340211,computing tour length of baseline model
2024-07-22T01:59:25.340443,computing loss and backprop
2024-07-22T01:59:25.538875,"Epoch 0, Step 6 start"
2024-07-22T01:59:25.538891,Generating data
2024-07-22T01:59:25.541885,generating tours of train model
2024-07-22T01:59:25.829364,generating tours of baseline model
2024-07-22T01:59:26.021933,computing tour length of train model
2024-07-22T01:59:26.022193,computing tour length of baseline model
2024-07-22T01:59:26.022416,computing loss and backprop
2024-07-22T01:59:26.225594,"Epoch 0, Step 7 start"
2024-07-22T01:59:26.225617,generating tours of train model
2024-07-22T01:59:26.501954,generating tours of baseline model
2024-07-22T01:59:26.752275,computing tour length of train model
2024-07-22T01:59:26.752529,computing tour length of baseline model
2024-07-22T01:59:26.752752,computing loss and backprop
2024-07-22T01:59:26.954267,"Epoch 0, Step 8 start"
2024-07-22T01:59:26.954283,generating tours of train model
2024-07-22T01:59:27.357002,generating tours of baseline model
2024-07-22T01:59:27.614020,computing tour length of train model
2024-07-22T01:59:27.614283,computing tour length of baseline model
2024-07-22T01:59:27.614514,computing loss and backprop
2024-07-22T01:59:27.811410,"Epoch 0, Step 9 start"
2024-07-22T01:59:27.811426,generating tours of train model
2024-07-22T01:59:28.140818,generating tours of baseline model
2024-07-22T01:59:28.334714,computing tour length of train model
2024-07-22T01:59:28.334981,computing tour length of baseline model
2024-07-22T01:59:28.335209,computing loss and backprop
2024-07-22T01:59:28.537789,"Epoch 0, Generating tour on test data batch 0"
2024-07-22T01:59:28.945730,"Epoch 0, computing tour length on test data batch 0"
2024-07-22T01:59:28.946240,"Epoch 0, Generating tour on test data batch 1"
2024-07-22T01:59:29.386414,"Epoch 0, computing tour length on test data batch 1"
2024-07-22T01:59:29.386900,"Epoch 0, Generating tour on test data batch 2"
2024-07-22T01:59:29.900114,"Epoch 0, computing tour length on test data batch 2"
2024-07-22T01:59:29.900580,"Epoch 0, Generating tour on test data batch 3"
2024-07-22T01:59:30.414013,"Epoch 0, computing tour length on test data batch 3"
2024-07-22T01:59:30.414492,"Epoch 0, Generating tour on test data batch 4"
2024-07-22T01:59:30.801350,"Epoch 0, computing tour length on test data batch 4"
2024-07-22T01:59:30.801836,"Epoch 0, Generating tour on test data batch 5"
2024-07-22T01:59:31.208240,"Epoch 0, computing tour length on test data batch 5"
2024-07-22T01:59:31.208711,"Epoch 0, Generating tour on test data batch 6"
2024-07-22T01:59:31.631856,"Epoch 0, computing tour length on test data batch 6"
2024-07-22T01:59:31.632342,"Epoch 0, Generating tour on test data batch 7"
2024-07-22T01:59:32.044994,"Epoch 0, computing tour length on test data batch 7"
2024-07-22T01:59:32.045491,"Epoch 0, Generating tour on test data batch 8"
2024-07-22T01:59:32.558683,"Epoch 0, computing tour length on test data batch 8"
2024-07-22T01:59:32.559159,"Epoch 0, Generating tour on test data batch 9"
