Timestamp,Event
2024-07-22T01:19:51.807856,"Epoch 0, Step 0 start"
2024-07-22T01:19:51.807878,Generating data
2024-07-22T01:19:51.833892,generating tours of train model
2024-07-22T01:20:08.473138,generating tours of baseline model
2024-07-22T01:20:08.587995,computing tour length of train model
2024-07-22T01:20:08.727276,computing tour length of baseline model
2024-07-22T01:20:08.727873,computing loss and backprop
2024-07-22T01:20:30.408639,"Epoch 0, Step 1 start"
2024-07-22T01:20:30.408667,generating tours of train model
2024-07-22T01:20:30.512772,generating tours of baseline model
2024-07-22T01:20:30.578824,computing tour length of train model
2024-07-22T01:20:30.579149,computing tour length of baseline model
2024-07-22T01:20:30.579381,computing loss and backprop
2024-07-22T01:20:30.634958,"Epoch 0, Step 2 start"
2024-07-22T01:20:30.634986,generating tours of train model
2024-07-22T01:20:30.736339,generating tours of baseline model
2024-07-22T01:20:30.802414,computing tour length of train model
2024-07-22T01:20:30.802667,computing tour length of baseline model
2024-07-22T01:20:30.802898,computing loss and backprop
2024-07-22T01:20:30.860624,"Epoch 0, Step 3 start"
2024-07-22T01:20:30.860644,generating tours of train model
2024-07-22T01:20:30.962292,generating tours of baseline model
2024-07-22T01:20:31.028397,computing tour length of train model
2024-07-22T01:20:31.028643,computing tour length of baseline model
2024-07-22T01:20:31.028867,computing loss and backprop
2024-07-22T01:20:31.081651,"Epoch 0, Step 4 start"
2024-07-22T01:20:31.081668,generating tours of train model
2024-07-22T01:20:31.183623,generating tours of baseline model
2024-07-22T01:20:31.249729,computing tour length of train model
2024-07-22T01:20:31.249947,computing tour length of baseline model
2024-07-22T01:20:31.250163,computing loss and backprop
2024-07-22T01:20:31.302918,"Epoch 0, Step 5 start"
2024-07-22T01:20:31.302933,generating tours of train model
2024-07-22T01:20:31.355418,generating tours of baseline model
2024-07-22T01:20:31.408941,computing tour length of train model
2024-07-22T01:20:31.409209,computing tour length of baseline model
2024-07-22T01:20:31.409445,computing loss and backprop
2024-07-22T01:20:31.465121,"Epoch 0, Step 6 start"
2024-07-22T01:20:31.465143,Generating data
2024-07-22T01:20:31.469041,generating tours of train model
2024-07-22T01:20:31.551032,generating tours of baseline model
2024-07-22T01:20:31.609009,computing tour length of train model
2024-07-22T01:20:31.609260,computing tour length of baseline model
2024-07-22T01:20:31.609483,computing loss and backprop
2024-07-22T01:20:31.664560,"Epoch 0, Step 7 start"
2024-07-22T01:20:31.664579,generating tours of train model
2024-07-22T01:20:31.742552,generating tours of baseline model
2024-07-22T01:20:31.800354,computing tour length of train model
2024-07-22T01:20:31.800612,computing tour length of baseline model
2024-07-22T01:20:31.800837,computing loss and backprop
2024-07-22T01:20:31.860901,"Epoch 0, Step 8 start"
2024-07-22T01:20:31.860923,generating tours of train model
2024-07-22T01:20:31.933146,generating tours of baseline model
2024-07-22T01:20:31.979322,computing tour length of train model
2024-07-22T01:20:31.979594,computing tour length of baseline model
2024-07-22T01:20:31.979828,computing loss and backprop
2024-07-22T01:20:32.039797,"Epoch 0, Step 9 start"
2024-07-22T01:20:32.039820,generating tours of train model
2024-07-22T01:20:32.127812,generating tours of baseline model
2024-07-22T01:20:32.178897,computing tour length of train model
2024-07-22T01:20:32.179160,computing tour length of baseline model
2024-07-22T01:20:32.179385,computing loss and backprop
2024-07-22T01:20:32.234789,"Epoch 0, Generating tour on test data batch 0"
2024-07-22T01:20:32.341889,"Epoch 0, computing tour length on test data batch 0"
2024-07-22T01:20:32.342358,"Epoch 0, Generating tour on test data batch 1"
2024-07-22T01:20:32.475342,"Epoch 0, computing tour length on test data batch 1"
2024-07-22T01:20:32.475855,"Epoch 0, Generating tour on test data batch 2"
2024-07-22T01:20:32.590375,"Epoch 0, computing tour length on test data batch 2"
2024-07-22T01:20:32.590838,"Epoch 0, Generating tour on test data batch 3"
2024-07-22T01:20:32.705384,"Epoch 0, computing tour length on test data batch 3"
2024-07-22T01:20:32.705937,"Epoch 0, Generating tour on test data batch 4"
2024-07-22T01:20:32.838646,"Epoch 0, computing tour length on test data batch 4"
2024-07-22T01:20:32.839124,"Epoch 0, Generating tour on test data batch 5"
2024-07-22T01:20:32.971395,"Epoch 0, computing tour length on test data batch 5"
2024-07-22T01:20:32.971869,"Epoch 0, Generating tour on test data batch 6"
2024-07-22T01:20:33.103644,"Epoch 0, computing tour length on test data batch 6"
2024-07-22T01:20:33.104116,"Epoch 0, Generating tour on test data batch 7"
2024-07-22T01:20:33.235940,"Epoch 0, computing tour length on test data batch 7"
2024-07-22T01:20:33.236430,"Epoch 0, Generating tour on test data batch 8"
2024-07-22T01:20:33.368140,"Epoch 0, computing tour length on test data batch 8"
2024-07-22T01:20:33.368600,"Epoch 0, Generating tour on test data batch 9"
2024-07-22T01:20:33.500392,"Epoch 0, computing tour length on test data batch 9"
2024-07-22T01:20:33.500867,"Epoch 0, Generating tour on test data batch 10"
2024-07-22T01:20:33.632657,"Epoch 0, computing tour length on test data batch 10"
2024-07-22T01:20:33.633130,"Epoch 0, Generating tour on test data batch 11"
2024-07-22T01:20:33.764907,"Epoch 0, computing tour length on test data batch 11"
2024-07-22T01:20:33.765372,"Epoch 0, Generating tour on test data batch 12"
2024-07-22T01:20:33.897161,"Epoch 0, computing tour length on test data batch 12"
2024-07-22T01:20:33.897633,"Epoch 0, Generating tour on test data batch 13"
2024-07-22T01:20:34.029518,"Epoch 0, computing tour length on test data batch 13"
2024-07-22T01:20:34.029990,"Epoch 0, Generating tour on test data batch 14"
2024-07-22T01:20:34.151301,"Epoch 0, computing tour length on test data batch 14"
2024-07-22T01:20:34.151727,"Epoch 0, Generating tour on test data batch 15"
2024-07-22T01:20:34.253939,"Epoch 0, computing tour length on test data batch 15"
2024-07-22T01:20:34.254416,"Epoch 0, Generating tour on test data batch 16"
2024-07-22T01:20:34.370857,"Epoch 0, computing tour length on test data batch 16"
2024-07-22T01:20:34.371346,"Epoch 0, Generating tour on test data batch 17"
2024-07-22T01:20:34.502901,"Epoch 0, computing tour length on test data batch 17"
2024-07-22T01:20:34.503380,"Epoch 0, Generating tour on test data batch 18"
2024-07-22T01:20:34.618075,"Epoch 0, computing tour length on test data batch 18"
2024-07-22T01:20:34.618558,"Epoch 0, Generating tour on test data batch 19"
2024-07-22T01:20:34.734139,"Epoch 0, computing tour length on test data batch 19"
2024-07-22T01:20:34.734688,Epoch 0 saving checkpoint and updating baseline if train is better
2024-07-22T01:20:34.765757,"Epoch 1, Step 0 start"
2024-07-22T01:20:34.765772,Generating data
2024-07-22T01:20:34.768838,generating tours of train model
2024-07-22T01:20:34.869574,generating tours of baseline model
2024-07-22T01:20:34.918754,computing tour length of train model
2024-07-22T01:20:34.919022,computing tour length of baseline model
2024-07-22T01:20:34.919255,computing loss and backprop
2024-07-22T01:20:34.978030,"Epoch 1, Step 1 start"
2024-07-22T01:20:34.978057,generating tours of train model
2024-07-22T01:20:35.078996,generating tours of baseline model
2024-07-22T01:20:35.124571,computing tour length of train model
