Timestamp,Event
2024-07-22T03:23:35.502557,"Epoch 0, Step 0 start"
2024-07-22T03:23:35.502576,Generating data
2024-07-22T03:23:35.508741,generating tours of train model
2024-07-22T03:23:51.204756,generating tours of baseline model
2024-07-22T03:23:51.344582,computing tour length of train model
2024-07-22T03:23:51.372233,computing tour length of baseline model
2024-07-22T03:23:51.372588,computing loss and backprop
2024-07-22T03:24:12.560307,"Epoch 0, Step 1 start"
2024-07-22T03:24:12.560346,generating tours of train model
2024-07-22T03:24:12.716965,generating tours of baseline model
2024-07-22T03:24:12.839854,computing tour length of train model
2024-07-22T03:24:12.840172,computing tour length of baseline model
2024-07-22T03:24:12.840400,computing loss and backprop
2024-07-22T03:24:12.948203,"Epoch 0, Step 2 start"
2024-07-22T03:24:12.948227,generating tours of train model
2024-07-22T03:24:13.137536,generating tours of baseline model
2024-07-22T03:24:13.267735,computing tour length of train model
2024-07-22T03:24:13.268008,computing tour length of baseline model
2024-07-22T03:24:13.268240,computing loss and backprop
2024-07-22T03:24:13.372810,"Epoch 0, Step 3 start"
2024-07-22T03:24:13.372827,generating tours of train model
2024-07-22T03:24:13.574935,generating tours of baseline model
2024-07-22T03:24:13.705128,computing tour length of train model
2024-07-22T03:24:13.705383,computing tour length of baseline model
2024-07-22T03:24:13.705609,computing loss and backprop
2024-07-22T03:24:13.812567,"Epoch 0, Step 4 start"
2024-07-22T03:24:13.812584,generating tours of train model
2024-07-22T03:24:14.014871,generating tours of baseline model
2024-07-22T03:24:14.145165,computing tour length of train model
2024-07-22T03:24:14.145414,computing tour length of baseline model
2024-07-22T03:24:14.145646,computing loss and backprop
2024-07-22T03:24:14.252129,"Epoch 0, Step 5 start"
2024-07-22T03:24:14.252148,generating tours of train model
2024-07-22T03:24:14.406350,generating tours of baseline model
2024-07-22T03:24:14.530966,computing tour length of train model
2024-07-22T03:24:14.531244,computing tour length of baseline model
2024-07-22T03:24:14.531479,computing loss and backprop
2024-07-22T03:24:14.637940,"Epoch 0, Step 6 start"
2024-07-22T03:24:14.637960,Generating data
2024-07-22T03:24:14.641433,generating tours of train model
2024-07-22T03:24:14.780729,generating tours of baseline model
2024-07-22T03:24:14.892254,computing tour length of train model
2024-07-22T03:24:14.892516,computing tour length of baseline model
2024-07-22T03:24:14.892743,computing loss and backprop
2024-07-22T03:24:15.001261,"Epoch 0, Step 7 start"
2024-07-22T03:24:15.001284,generating tours of train model
2024-07-22T03:24:15.172909,generating tours of baseline model
2024-07-22T03:24:15.285639,computing tour length of train model
2024-07-22T03:24:15.285956,computing tour length of baseline model
2024-07-22T03:24:15.286193,computing loss and backprop
2024-07-22T03:24:15.396220,"Epoch 0, Step 8 start"
2024-07-22T03:24:15.396245,generating tours of train model
2024-07-22T03:24:15.565348,generating tours of baseline model
2024-07-22T03:24:15.679457,computing tour length of train model
2024-07-22T03:24:15.679728,computing tour length of baseline model
2024-07-22T03:24:15.679969,computing loss and backprop
2024-07-22T03:24:15.787839,"Epoch 0, Step 9 start"
2024-07-22T03:24:15.787863,generating tours of train model
2024-07-22T03:24:15.989996,generating tours of baseline model
2024-07-22T03:24:16.120156,computing tour length of train model
2024-07-22T03:24:16.120408,computing tour length of baseline model
2024-07-22T03:24:16.120630,computing loss and backprop
2024-07-22T03:24:16.225400,"Epoch 0, Generating tour on test data batch 0"
2024-07-22T03:24:16.356234,"Epoch 0, computing tour length on test data batch 0"
2024-07-22T03:24:16.356735,"Epoch 0, Generating tour on test data batch 1"
2024-07-22T03:24:16.488471,"Epoch 0, computing tour length on test data batch 1"
2024-07-22T03:24:16.488931,"Epoch 0, Generating tour on test data batch 2"
2024-07-22T03:24:16.620734,"Epoch 0, computing tour length on test data batch 2"
2024-07-22T03:24:16.621211,"Epoch 0, Generating tour on test data batch 3"
2024-07-22T03:24:16.753047,"Epoch 0, computing tour length on test data batch 3"
2024-07-22T03:24:16.753515,"Epoch 0, Generating tour on test data batch 4"
2024-07-22T03:24:16.885420,"Epoch 0, computing tour length on test data batch 4"
2024-07-22T03:24:16.885860,"Epoch 0, Generating tour on test data batch 5"
2024-07-22T03:24:16.966975,"Epoch 0, computing tour length on test data batch 5"
2024-07-22T03:24:16.967394,"Epoch 0, Generating tour on test data batch 6"
2024-07-22T03:24:17.090894,"Epoch 0, computing tour length on test data batch 6"
2024-07-22T03:24:17.091367,"Epoch 0, Generating tour on test data batch 7"
2024-07-22T03:24:17.194704,"Epoch 0, computing tour length on test data batch 7"
2024-07-22T03:24:17.195184,"Epoch 0, Generating tour on test data batch 8"
2024-07-22T03:24:17.319503,"Epoch 0, computing tour length on test data batch 8"
2024-07-22T03:24:17.319991,"Epoch 0, Generating tour on test data batch 9"
2024-07-22T03:24:17.433350,"Epoch 0, computing tour length on test data batch 9"
2024-07-22T03:24:17.433842,"Epoch 0, Generating tour on test data batch 10"
2024-07-22T03:24:17.522551,"Epoch 0, computing tour length on test data batch 10"
2024-07-22T03:24:17.523032,"Epoch 0, Generating tour on test data batch 11"
2024-07-22T03:24:17.654111,"Epoch 0, computing tour length on test data batch 11"
2024-07-22T03:24:17.654586,"Epoch 0, Generating tour on test data batch 12"
2024-07-22T03:24:17.760607,"Epoch 0, computing tour length on test data batch 12"
2024-07-22T03:24:17.761107,"Epoch 0, Generating tour on test data batch 13"
2024-07-22T03:24:17.886108,"Epoch 0, computing tour length on test data batch 13"
2024-07-22T03:24:17.886589,"Epoch 0, Generating tour on test data batch 14"
2024-07-22T03:24:18.000774,"Epoch 0, computing tour length on test data batch 14"
2024-07-22T03:24:18.001259,"Epoch 0, Generating tour on test data batch 15"
2024-07-22T03:24:18.109180,"Epoch 0, computing tour length on test data batch 15"
2024-07-22T03:24:18.109695,"Epoch 0, Generating tour on test data batch 16"
2024-07-22T03:24:18.240701,"Epoch 0, computing tour length on test data batch 16"
