Timestamp,Event
2024-08-06T13:34:48.405758,"Epoch 0, Step 0 start"
2024-08-06T13:34:48.405768,Generating data
2024-08-06T13:34:48.405879,generating tours of train model
2024-08-06T13:34:57.090956,generating tours of baseline model
2024-08-06T13:34:57.164142,computing tour length of train model
2024-08-06T13:34:57.209832,computing tour length of baseline model
2024-08-06T13:34:57.210239,computing loss and backprop
2024-08-06T13:35:09.953588,"Epoch 0, Step 1 start"
2024-08-06T13:35:09.953601,Generating data
2024-08-06T13:35:09.953939,generating tours of train model
2024-08-06T13:35:10.031532,generating tours of baseline model
2024-08-06T13:35:10.102135,computing tour length of train model
2024-08-06T13:35:10.102387,computing tour length of baseline model
2024-08-06T13:35:10.102633,computing loss and backprop
2024-08-06T13:35:10.268912,"Epoch 0, Step 2 start"
2024-08-06T13:35:10.268922,Generating data
2024-08-06T13:35:10.269153,generating tours of train model
2024-08-06T13:35:10.345167,generating tours of baseline model
2024-08-06T13:35:10.417866,computing tour length of train model
2024-08-06T13:35:10.418134,computing tour length of baseline model
2024-08-06T13:35:10.418372,computing loss and backprop
2024-08-06T13:35:10.583175,"Epoch 0, Step 3 start"
2024-08-06T13:35:10.583187,Generating data
2024-08-06T13:35:10.583443,generating tours of train model
2024-08-06T13:35:10.659305,generating tours of baseline model
2024-08-06T13:35:10.730004,computing tour length of train model
2024-08-06T13:35:10.730255,computing tour length of baseline model
2024-08-06T13:35:10.730496,computing loss and backprop
2024-08-06T13:35:10.895955,"Epoch 0, Step 4 start"
2024-08-06T13:35:10.895965,Generating data
2024-08-06T13:35:10.896193,generating tours of train model
2024-08-06T13:35:10.971965,generating tours of baseline model
2024-08-06T13:35:11.042619,computing tour length of train model
2024-08-06T13:35:11.042835,computing tour length of baseline model
2024-08-06T13:35:11.043063,computing loss and backprop
2024-08-06T13:35:11.207686,"Epoch 0, Step 5 start"
2024-08-06T13:35:11.207697,Generating data
2024-08-06T13:35:11.207927,generating tours of train model
2024-08-06T13:35:11.283877,generating tours of baseline model
2024-08-06T13:35:11.354482,computing tour length of train model
2024-08-06T13:35:11.354703,computing tour length of baseline model
2024-08-06T13:35:11.354929,computing loss and backprop
2024-08-06T13:35:11.522008,"Epoch 0, Step 6 start"
2024-08-06T13:35:11.522021,Generating data
2024-08-06T13:35:11.522281,generating tours of train model
2024-08-06T13:35:11.598120,generating tours of baseline model
2024-08-06T13:35:11.668730,computing tour length of train model
2024-08-06T13:35:11.668967,computing tour length of baseline model
2024-08-06T13:35:11.669194,computing loss and backprop
2024-08-06T13:35:11.833566,"Epoch 0, Step 7 start"
2024-08-06T13:35:11.833577,Generating data
2024-08-06T13:35:11.833808,generating tours of train model
2024-08-06T13:35:11.911116,generating tours of baseline model
2024-08-06T13:35:11.981727,computing tour length of train model
2024-08-06T13:35:11.982004,computing tour length of baseline model
2024-08-06T13:35:11.982242,computing loss and backprop
2024-08-06T13:35:12.148280,"Epoch 0, Step 8 start"
2024-08-06T13:35:12.148291,Generating data
2024-08-06T13:35:12.148538,generating tours of train model
2024-08-06T13:35:12.224281,generating tours of baseline model
2024-08-06T13:35:12.295049,computing tour length of train model
2024-08-06T13:35:12.295285,computing tour length of baseline model
2024-08-06T13:35:12.295514,computing loss and backprop
2024-08-06T13:35:12.459547,"Epoch 0, Step 9 start"
2024-08-06T13:35:12.459558,Generating data
2024-08-06T13:35:12.459795,generating tours of train model
2024-08-06T13:35:12.536995,generating tours of baseline model
2024-08-06T13:35:12.607835,computing tour length of train model
2024-08-06T13:35:12.608076,computing tour length of baseline model
2024-08-06T13:35:12.608319,computing loss and backprop
2024-08-06T13:35:12.773673,"Epoch 0, Step 10 start"
2024-08-06T13:35:12.773683,Generating data
2024-08-06T13:35:12.773950,generating tours of train model
2024-08-06T13:35:12.849569,generating tours of baseline model
2024-08-06T13:35:12.920457,computing tour length of train model
2024-08-06T13:35:12.920674,computing tour length of baseline model
2024-08-06T13:35:12.920906,computing loss and backprop
2024-08-06T13:35:13.083571,"Epoch 0, Step 11 start"
2024-08-06T13:35:13.083581,Generating data
2024-08-06T13:35:13.083796,generating tours of train model
2024-08-06T13:35:13.159549,generating tours of baseline model
2024-08-06T13:35:13.230281,computing tour length of train model
2024-08-06T13:35:13.230510,computing tour length of baseline model
2024-08-06T13:35:13.230738,computing loss and backprop
2024-08-06T13:35:13.394108,"Epoch 0, Step 12 start"
2024-08-06T13:35:13.394118,Generating data
2024-08-06T13:35:13.394347,generating tours of train model
2024-08-06T13:35:13.469887,generating tours of baseline model
2024-08-06T13:35:13.542173,computing tour length of train model
2024-08-06T13:35:13.542422,computing tour length of baseline model
2024-08-06T13:35:13.542668,computing loss and backprop
2024-08-06T13:35:13.708882,"Epoch 0, Step 13 start"
2024-08-06T13:35:13.708893,Generating data
2024-08-06T13:35:13.709134,generating tours of train model
2024-08-06T13:35:13.815235,generating tours of baseline model
2024-08-06T13:35:13.921022,computing tour length of train model
2024-08-06T13:35:13.921352,computing tour length of baseline model
2024-08-06T13:35:13.921683,computing loss and backprop
2024-08-06T13:35:14.174060,"Epoch 0, Step 14 start"
2024-08-06T13:35:14.174088,Generating data
2024-08-06T13:35:14.174522,generating tours of train model
2024-08-06T13:35:14.269030,generating tours of baseline model
2024-08-06T13:35:14.343226,computing tour length of train model
