Timestamp,Event
2024-08-06T10:37:50.388263,"Epoch 0, Step 0 start"
2024-08-06T10:37:50.388274,Generating data
2024-08-06T10:37:50.388393,generating tours of train model
2024-08-06T10:37:57.923482,generating tours of baseline model
2024-08-06T10:37:57.997918,computing tour length of train model
2024-08-06T10:37:58.044552,computing tour length of baseline model
2024-08-06T10:37:58.044910,computing loss and backprop
2024-08-06T10:38:09.625303,"Epoch 0, Step 1 start"
2024-08-06T10:38:09.625323,Generating data
2024-08-06T10:38:09.625609,generating tours of train model
2024-08-06T10:38:09.701917,generating tours of baseline model
2024-08-06T10:38:09.772600,computing tour length of train model
2024-08-06T10:38:09.772844,computing tour length of baseline model
2024-08-06T10:38:09.773080,computing loss and backprop
2024-08-06T10:38:09.936003,"Epoch 0, Step 2 start"
2024-08-06T10:38:09.936014,Generating data
2024-08-06T10:38:09.936246,generating tours of train model
2024-08-06T10:38:10.011857,generating tours of baseline model
2024-08-06T10:38:10.085384,computing tour length of train model
2024-08-06T10:38:10.085613,computing tour length of baseline model
2024-08-06T10:38:10.085845,computing loss and backprop
2024-08-06T10:38:10.249364,"Epoch 0, Step 3 start"
2024-08-06T10:38:10.249374,Generating data
2024-08-06T10:38:10.249586,generating tours of train model
2024-08-06T10:38:10.325573,generating tours of baseline model
2024-08-06T10:38:10.396482,computing tour length of train model
2024-08-06T10:38:10.396703,computing tour length of baseline model
2024-08-06T10:38:10.396931,computing loss and backprop
2024-08-06T10:38:10.562550,"Epoch 0, Step 4 start"
2024-08-06T10:38:10.562562,Generating data
2024-08-06T10:38:10.562812,generating tours of train model
2024-08-06T10:38:10.638619,generating tours of baseline model
2024-08-06T10:38:10.709416,computing tour length of train model
2024-08-06T10:38:10.709651,computing tour length of baseline model
2024-08-06T10:38:10.709880,computing loss and backprop
2024-08-06T10:38:10.872114,"Epoch 0, Step 5 start"
2024-08-06T10:38:10.872125,Generating data
2024-08-06T10:38:10.872332,generating tours of train model
2024-08-06T10:38:10.950294,generating tours of baseline model
2024-08-06T10:38:11.021110,computing tour length of train model
2024-08-06T10:38:11.021335,computing tour length of baseline model
2024-08-06T10:38:11.021563,computing loss and backprop
2024-08-06T10:38:11.184921,"Epoch 0, Step 6 start"
2024-08-06T10:38:11.184932,Generating data
2024-08-06T10:38:11.185154,generating tours of train model
2024-08-06T10:38:11.260901,generating tours of baseline model
2024-08-06T10:38:11.331384,computing tour length of train model
2024-08-06T10:38:11.331613,computing tour length of baseline model
2024-08-06T10:38:11.331841,computing loss and backprop
2024-08-06T10:38:11.496016,"Epoch 0, Step 7 start"
2024-08-06T10:38:11.496028,Generating data
2024-08-06T10:38:11.496251,generating tours of train model
2024-08-06T10:38:11.571999,generating tours of baseline model
2024-08-06T10:38:11.642922,computing tour length of train model
2024-08-06T10:38:11.643188,computing tour length of baseline model
2024-08-06T10:38:11.643421,computing loss and backprop
2024-08-06T10:38:11.809699,"Epoch 0, Step 8 start"
2024-08-06T10:38:11.809710,Generating data
2024-08-06T10:38:11.809963,generating tours of train model
2024-08-06T10:38:11.884585,generating tours of baseline model
2024-08-06T10:38:11.960251,computing tour length of train model
2024-08-06T10:38:11.960493,computing tour length of baseline model
2024-08-06T10:38:11.960724,computing loss and backprop
2024-08-06T10:38:12.124481,"Epoch 0, Step 9 start"
2024-08-06T10:38:12.124491,Generating data
2024-08-06T10:38:12.124708,generating tours of train model
2024-08-06T10:38:12.200737,generating tours of baseline model
2024-08-06T10:38:12.271418,computing tour length of train model
2024-08-06T10:38:12.271691,computing tour length of baseline model
2024-08-06T10:38:12.271948,computing loss and backprop
2024-08-06T10:38:12.435115,"Epoch 0, Step 10 start"
2024-08-06T10:38:12.435125,Generating data
2024-08-06T10:38:12.435336,generating tours of train model
2024-08-06T10:38:12.511552,generating tours of baseline model
2024-08-06T10:38:12.582315,computing tour length of train model
2024-08-06T10:38:12.582566,computing tour length of baseline model
2024-08-06T10:38:12.582801,computing loss and backprop
2024-08-06T10:38:12.747280,"Epoch 0, Step 11 start"
2024-08-06T10:38:12.747291,Generating data
2024-08-06T10:38:12.747514,generating tours of train model
2024-08-06T10:38:12.824469,generating tours of baseline model
2024-08-06T10:38:12.895681,computing tour length of train model
