Timestamp,Event
2024-08-06T13:00:35.688626,"Epoch 0, Step 0 start"
2024-08-06T13:00:35.688636,Generating data
2024-08-06T13:00:35.688751,generating tours of train model
2024-08-06T13:00:43.305559,generating tours of baseline model
2024-08-06T13:00:43.424310,computing tour length of train model
2024-08-06T13:00:43.468949,computing tour length of baseline model
2024-08-06T13:00:43.469316,computing loss and backprop
2024-08-06T13:00:53.267650,"Epoch 0, Step 1 start"
2024-08-06T13:00:53.267662,Generating data
2024-08-06T13:00:53.267992,generating tours of train model
2024-08-06T13:00:53.397620,generating tours of baseline model
2024-08-06T13:00:53.517643,computing tour length of train model
2024-08-06T13:00:53.517907,computing tour length of baseline model
2024-08-06T13:00:53.518188,computing loss and backprop
2024-08-06T13:00:53.851028,"Epoch 0, Step 2 start"
2024-08-06T13:00:53.851061,Generating data
2024-08-06T13:00:53.851439,generating tours of train model
2024-08-06T13:00:54.047023,generating tours of baseline model
2024-08-06T13:00:54.196546,computing tour length of train model
2024-08-06T13:00:54.196805,computing tour length of baseline model
2024-08-06T13:00:54.197039,computing loss and backprop
2024-08-06T13:00:54.490635,"Epoch 0, Step 3 start"
2024-08-06T13:00:54.490652,Generating data
2024-08-06T13:00:54.490973,generating tours of train model
2024-08-06T13:00:54.618351,generating tours of baseline model
2024-08-06T13:00:54.735693,computing tour length of train model
2024-08-06T13:00:54.735951,computing tour length of baseline model
2024-08-06T13:00:54.736182,computing loss and backprop
2024-08-06T13:00:55.025014,"Epoch 0, Step 4 start"
2024-08-06T13:00:55.025025,Generating data
2024-08-06T13:00:55.025279,generating tours of train model
2024-08-06T13:00:55.152087,generating tours of baseline model
2024-08-06T13:00:55.268963,computing tour length of train model
2024-08-06T13:00:55.269188,computing tour length of baseline model
2024-08-06T13:00:55.269416,computing loss and backprop
2024-08-06T13:00:55.558626,"Epoch 0, Step 5 start"
2024-08-06T13:00:55.558637,Generating data
2024-08-06T13:00:55.558918,generating tours of train model
2024-08-06T13:00:55.685246,generating tours of baseline model
2024-08-06T13:00:55.802413,computing tour length of train model
2024-08-06T13:00:55.802650,computing tour length of baseline model
2024-08-06T13:00:55.802888,computing loss and backprop
2024-08-06T13:00:56.090834,"Epoch 0, Step 6 start"
2024-08-06T13:00:56.090844,Generating data
2024-08-06T13:00:56.091101,generating tours of train model
2024-08-06T13:00:56.217425,generating tours of baseline model
2024-08-06T13:00:56.334249,computing tour length of train model
2024-08-06T13:00:56.334468,computing tour length of baseline model
2024-08-06T13:00:56.334695,computing loss and backprop
2024-08-06T13:00:56.625143,"Epoch 0, Step 7 start"
2024-08-06T13:00:56.625154,Generating data
2024-08-06T13:00:56.625436,generating tours of train model
2024-08-06T13:00:56.751780,generating tours of baseline model
2024-08-06T13:00:56.868212,computing tour length of train model
2024-08-06T13:00:56.868462,computing tour length of baseline model
2024-08-06T13:00:56.868687,computing loss and backprop
2024-08-06T13:00:57.157785,"Epoch 0, Step 8 start"
2024-08-06T13:00:57.157795,Generating data
2024-08-06T13:00:57.158087,generating tours of train model
2024-08-06T13:00:57.284310,generating tours of baseline model
2024-08-06T13:00:57.400962,computing tour length of train model
2024-08-06T13:00:57.401189,computing tour length of baseline model
2024-08-06T13:00:57.401415,computing loss and backprop
2024-08-06T13:00:57.691662,"Epoch 0, Step 9 start"
2024-08-06T13:00:57.691673,Generating data
2024-08-06T13:00:57.691944,generating tours of train model
2024-08-06T13:00:57.818896,generating tours of baseline model
2024-08-06T13:00:57.936170,computing tour length of train model
2024-08-06T13:00:57.936407,computing tour length of baseline model
2024-08-06T13:00:57.936634,computing loss and backprop
2024-08-06T13:00:58.226337,"Epoch 0, Step 10 start"
2024-08-06T13:00:58.226357,Generating data
2024-08-06T13:00:58.226654,generating tours of train model
2024-08-06T13:00:58.353875,generating tours of baseline model
2024-08-06T13:00:58.471470,computing tour length of train model
2024-08-06T13:00:58.471714,computing tour length of baseline model
2024-08-06T13:00:58.471944,computing loss and backprop
2024-08-06T13:00:58.782758,"Epoch 0, Step 11 start"
2024-08-06T13:00:58.782790,Generating data
2024-08-06T13:00:58.783173,generating tours of train model
2024-08-06T13:00:58.980717,generating tours of baseline model
2024-08-06T13:00:59.152909,computing tour length of train model
2024-08-06T13:00:59.153212,computing tour length of baseline model
2024-08-06T13:00:59.153458,computing loss and backprop
2024-08-06T13:00:59.443194,"Epoch 0, Step 12 start"
2024-08-06T13:00:59.443204,Generating data
2024-08-06T13:00:59.443469,generating tours of train model
2024-08-06T13:00:59.571539,generating tours of baseline model
2024-08-06T13:00:59.688676,computing tour length of train model
2024-08-06T13:00:59.688922,computing tour length of baseline model
2024-08-06T13:00:59.689155,computing loss and backprop
2024-08-06T13:00:59.978326,"Epoch 0, Step 13 start"
2024-08-06T13:00:59.978336,Generating data
2024-08-06T13:00:59.978594,generating tours of train model
2024-08-06T13:01:00.105190,generating tours of baseline model
2024-08-06T13:01:00.223978,computing tour length of train model
2024-08-06T13:01:00.224198,computing tour length of baseline model
2024-08-06T13:01:00.224425,computing loss and backprop
2024-08-06T13:01:00.514881,"Epoch 0, Step 14 start"
2024-08-06T13:01:00.514899,Generating data
2024-08-06T13:01:00.515191,generating tours of train model
2024-08-06T13:01:00.642687,generating tours of baseline model
2024-08-06T13:01:00.760859,computing tour length of train model
2024-08-06T13:01:00.761117,computing tour length of baseline model
2024-08-06T13:01:00.761353,computing loss and backprop
2024-08-06T13:01:01.050801,"Epoch 0, Step 15 start"
2024-08-06T13:01:01.050811,Generating data
2024-08-06T13:01:01.051085,generating tours of train model
2024-08-06T13:01:01.178392,generating tours of baseline model
2024-08-06T13:01:01.295688,computing tour length of train model
2024-08-06T13:01:01.295911,computing tour length of baseline model
2024-08-06T13:01:01.296139,computing loss and backprop
2024-08-06T13:01:01.585569,"Epoch 0, Step 16 start"
2024-08-06T13:01:01.585580,Generating data
2024-08-06T13:01:01.585867,generating tours of train model
2024-08-06T13:01:01.712896,generating tours of baseline model
2024-08-06T13:01:01.830402,computing tour length of train model
2024-08-06T13:01:01.830649,computing tour length of baseline model
2024-08-06T13:01:01.830885,computing loss and backprop
